date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:49	548/548	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:2adf48d3ef0bda02a6c01bc5c5f02c51%22	https://ambronite.com/robots.txt		(from )
10:59:49	153714/153714	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:20fee3345bf2b8fafadaeff3e4fd1c19%22	https://ambronite.com/	C:/My%20Web%20Sites/ambronite/ambronite.com/index.html	(from )
10:59:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2005:59:46%20GMT	http://ambronite.com/cdn/shop/t/38/assets/geolizr-lib.js?v=119590630718637282781564999112	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/geolizr-lib.0dd2a.delayed	(from https://ambronite.com/)
10:59:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2005:59:47%20GMT	http://ambronite.com/cdn/shop/t/38/assets/geolizr-lib.css?v=131976552225837042031564999112	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/geolizr-lib3e9c.css	(from https://ambronite.com/)
10:59:51	59500/59500	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2027%20Nov%202024%2012:01:24%20GMT	https://ambronite.com/cdn/shop/t/38/assets/geolizr-lib.js?v=119590630718637282781564999112	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/geolizr-libdd2a.js	(from https://ambronite.com/)
10:59:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2005:59:48%20GMT	http://ambronite.com/cdn/shop/t/38/assets/styles.scss.css?v=99459087894986004771697460132	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/styles.scsse3a6.css	(from https://ambronite.com/)
10:59:52	151501/151501	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Dec%202024%2023:01:06%20GMT	https://ambronite.com/cdn/shop/t/38/assets/geolizr-lib.css?v=131976552225837042031564999112	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/geolizr-lib3e9c.css	(from https://ambronite.com/)
10:59:52	180428/180428	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Nov%202024%2012:01:26%20GMT	https://ambronite.com/cdn/shop/t/38/assets/styles.scss.css?v=99459087894986004771697460132	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/styles.scsse3a6.css	(from https://ambronite.com/)
10:59:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2005:59:49%20GMT	http://ambronite.com/cdn/shop/t/38/assets/custom-styles.css?v=58947311358884285161564999781	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/custom-styles501f.css	(from https://ambronite.com/)
10:59:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2005:59:50%20GMT	http://ambronite.com/cdn/shop/files/a-letter-logo_32x32.png?v=1613719087	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/a-letter-logo_32x32646e.png	(from https://ambronite.com/)
